ID,SourceText,Russian,English,Notes,Reasons,Packages,AllIDs,Locations
990002115,JAZZ_CombatScope_1P29,JAZZ_CombatScope_1P29,JAZZ_CombatScope_1P29,manual-reviewed-human,needs-russian,jazz,990002115 | 990002116,jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:9 | jazz:items.lua:53471 | jazz:InventoryItem/JAZZ_CombatScope_1P29.lua:10 | jazz:items.lua:53472
376428242327,"<em>Outcome:</em> Fortified the <em><SectorName('I5')></em> with Militia and a Machine Gun
","<em>Итог:</em> сектор <em><SectorName('I5')></em> укреплён ополчением и пулемётом
","<em>Outcome:</em> Fortified the <em><SectorName('I5')></em> with Militia and a Machine Gun
",manual-reviewed-human,needs-russian,jazz-maps,376428242327,jazz-maps:items.lua:95900
845156775611,"<em>Outcome:</em> Fortified the <em><SectorName('I5')></em> with Militia but no Machine Gun
","<em>Итог:</em> сектор <em><SectorName('I5')></em> укреплён ополчением, но без пулемёта
","<em>Outcome:</em> Fortified the <em><SectorName('I5')></em> with Militia but no Machine Gun
",manual-reviewed-human,needs-russian,jazz-maps,845156775611,jazz-maps:items.lua:95921
890000000001388,"
<bullet_point> <target_prop>: <pen>","
<bullet_point> <target_prop>: <pen>","
<bullet_point> <target_prop>: <pen>",manual-reviewed-human,needs-russian,jazz,890000000001388,jazz:Code/AmmoRolloverHint.lua:143
890000000001939,<hint>,<hint>,<hint>,manual-reviewed-human,needs-russian,,890000000001939,
890000000002607,Quinten@aim.com,Quinten@aim.com,Quinten@aim.com,manual-reviewed-human,needs-russian,jazz-units,890000000002607,jazz-units:items.lua:120332 | jazz-units:UnitData/Jazz_Quinten.lua:28
890000000002608,parkourmd,parkourmd,parkourmd,manual-reviewed-human,needs-russian,jazz-units,890000000002608,jazz-units:items.lua:120333 | jazz-units:UnitData/Jazz_Quinten.lua:29
890000000002707,Vicious@aim.com,Vicious@aim.com,Vicious@aim.com,manual-reviewed-human,needs-russian,jazz-units,890000000002707,jazz-units:items.lua:120666 | jazz-units:UnitData/Jazz_Vicious.lua:28
890000000002708,mademoiselles,mademoiselles,mademoiselles,manual-reviewed-human,needs-russian,jazz-units,890000000002708,jazz-units:items.lua:120667 | jazz-units:UnitData/Jazz_Vicious.lua:29
890000000002807,Biff@merc.com,Biff@merc.com,Biff@merc.com,manual-reviewed-human,needs-russian,jazz-units,890000000002807,jazz-units:items.lua:121020 | jazz-units:UnitData/Jazz_Biff.lua:28
890000000002907,Nervous@merc.com,Nervous@merc.com,Nervous@merc.com,manual-reviewed-human,needs-russian,jazz-units,890000000002907,jazz-units:items.lua:121371 | jazz-units:UnitData/Jazz_Nervous.lua:28
890000000002908,twitchy,twitchy,twitchy,manual-reviewed-human,needs-russian,jazz-units,890000000002908,jazz-units:items.lua:121372 | jazz-units:UnitData/Jazz_Nervous.lua:29
