# tid	english
# merc=Merc_CarolThompson
132897973896	<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Unlocks doors and containers (based on Mechanical)\n<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Bonus to skill checks for picking locks\n<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Loses Condition after each use\n<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Can be repaired\n<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Used automatically from the Inventory
142940801489	As it turns out, I'm not only good at escaping bullets. But also at catching shrapnel.
144535865099	Shit!
148168186637	Destination reached.
151780761185	Becoming a shadow.
153727753655	...
153939050727	Carol one, Nature zero.
154857184513	Just had a chat with my intuition, and it said 'Check this sector now'.
162265049946	We are starting to take heavy casualties. That is not good at all.
162986760884	Sounds like an interesting task. I'll go channel my inner action hero for this one.
178894814928	Let's move there.
187582083345	Trap disarmed.
193103389955	It is said that missing is just a strategy to keep the enemy guessing.
196588040075	Savvy Gearhead
196943519231	Roger that.
207629348900	To quote my favorite action movie: It is not the size of the enemy group, it is the motion of their evasion.
222358502078	Enemy spotted.
236611551986	Thank you for your trust.
236893648710	I'm alright. Just adding a little extra flair to my uniform with that battle scar.
237609374072	I must have missed the memo about 'bring your entire army to work' day.
244648714356	Ducking for cover.
248613313560	We've eliminated all hostile forces, this sector is safe - for now.
258446624568	Sorry, but I've noticed that you've already hired that Bobby guy. If you genuinely want me to endure his misogynistic rhetoric, an additional fee will be incurred.
273891191447	Target acquired, commencing engagement.
276911702867	What's this?
286882294147	Changing position.
286918774796	Gunfire's quieted down, but we can't let our guard down until we're certain.
294182232824	I'm waiting for a 'Task Fairy' to drop some exciting orders in my lap.
298244391495	It seems like our battlefield show was a little bit too intense for their taste.
299334561824	Locked.
307682285350	Let's get to work and earn ourselves the salary.
316925098420	My weapon is following its dream of becoming a modern art sculpture. It's totally broken.
317334503938	Bad guy in the vicinity.
318432635336	Suspiciously menacing animal spotted.
327048758498	If I were an enemy, I'd totally hide out in this unexplored sector of suspicion.
327148294608	Trap.
333387953860	Carol Thompson
343757894933	And that, my friends, was the final episode of Enemy's Got Talent.
348957463391	I'm not bored - I'm simply engaged in an intense staring contest with destiny.
351947779875	Contact.
357538059824	Apparently they all wanted a front-row seat to the same magic trick.
373404184436	Establishing overwatch position.
380858846750	I'm starting to get tired. Can I have a break?
380979057322	Let's just say my bullet decided to take an impromptu detour.
381973393362	Going silent.
384137813577	Carol's Toolbox
384682974958	Immediately.
390378646674	Looks like someone just learned that survival of the fittest isn't their strong suit.
391767187075	The 'Missing Close Encounters Club' meets on Thursdays - you're invited.
393592401137	Mission accomplished. Can someone cue the victory music for me?
394222546411	Took multitasking to a whole new level - double the enemies, half the ammo!
398446960348	cthompson@coldmail.com
405964463791	This task is done and dusted. I'm ready for my celebratory pizza now.
408746106495	Watch out.
410644116481	My view of the target is compromised due to environmental conditions.
413160723543	Damn blood everywhere. I heard they're giving out medals for stylish combat injuries, so I'm just aiming for the gold.
417035570948	At your service.
421229861459	Initiating contact, rounds on the way.
425086642082	Moving.
425648125814	Carol's Toolbox
425784767460	What do we have here?
445759956613	Call me curious, but that sector's been whispering secrets to me. We should explore them.
447588086330	Animal down.
449558911566	Target practice meet efficiency - they all shared their ride on the same bullet.
453756698227	Just practicing my camouflage skills - blending in with the scenery, taking some photos for social media and all that really useful stuff.
457928525239	Affirmative.
468493322752	Don't worry, we're starting a new trend called "Near Miss Chic" for you Fox.
478926966328	Carol
481134625466	I'm prepared to take the shot on your signal.
482876686472	Fire in the hole!
486016717844	Did he mistake me for a mirage? I promise, I'm not that hard to hit.
492057885235	Well, that was an epic fail even by enemy standards.
495995831983	Got it.
497250823172	My tiredness level is officially contemplating becoming a bed decoration. I need some sleep now.
500966461403	Incoming fire from the enemy, take cover!
502254335331	Target acquired and I'm awaiting your orders.
517511621356	They really love to Play Hide and Seek, the Deadly Edition.
522843224156	I guess we scared them off with our world-class karaoke rendition of Combat Chaos. They fled in panic.
525514873335	There is quite some valuable stuff in here.
532246107902	Enemy forces are attacking me.
535346688008	Roger that. I will provide overwatch coverage.
539405923900	Yes?
545550975022	Interesting.
549533171268	Hostile sighted.
549759448057	Thompson here.
553551010723	Enemy down.
554902890006	I'm reaching the point where even my shadow will take a nap.
555174841937	Yeah?
555575552777	Apparently, my bullet wanted to enjoy some sightseeing before retiring.
561519662848	Affirmative.
566130714617	No more enemies in sight, I guess they realized they were late for their own party.
571131529692	Hey There, you're aware that calling girls just to breathe heavily into the phone is rather creepy, aren't you?
573226574645	Target is in my sights and conditions are favorable.
575700710661	Mission accomplished.
598923725087	I have reached my destination.
600069957196	Continuing to destination sector.
606940930694	I've established a solid firing position with the target in view.
607768359102	<color EmStyle>Carol</color> repairs equipped <color EmStyle>Weapons</color>, <color EmStyle>Armor</color> and <color EmStyle>Items</color> automatically over time.
616096792744	It's locked.
617169679386	Oh my god. That was impressive, like a symphony of bad aiming.
619026646898	My equipment is having a real mid-life crisis - it's not handling its age well.
619520942668	Contact! Enemy firing at my position.
619741705828	My new accessory. An open wound - it goes with everything.
623171740743	Bobby, that bullet missed, but hey, it's now best friends with the air.
636059397851	This equipment is on a mission to prove that 'rustic' is the new 'tactical', isn't it?
650483012873	CAROL
654629797647	My gun is on vacation mode: sun, sand, and a jammed barrel.
654770224086	We should talk after the sector is secured.
655772562123	Nice.
659403011961	There's some visual interference hindering my sight on the target.
662314116444	Moving with stealth.
666240175690	Acknowledged.
669689711935	Who needs shiny or new equipment when you can have rusty and... character-filled stuff?
